Outcop Name,well #,Depositional Environment,Depositional Element,X,Y,Bed ID,Data Type,Rock Type,Grain Size,Thickness (m),Bed Dip,Total Runout Length,Bed Termination,Rock Type (5 m right) ,Grain Size (5 m right),Thickness (m) (5 m right),Bed Dip (5 m right),Runout Length,Bed Termination,Rock Type (5 m left) ,Grain Size (5 m left),Thickness (m) (5 m left),Bed Dip (5 m left),Runout Length,Bed Termination,,,
Access,5,Delta,prximal delta front,2124,277.6,2,apparent dip,20-Sandstone structureless,fine sand upper,2.029,1.56,2528,,20-Sandstone structureless,fine sand upper,1.98,2.48,1346.58,,20-Sandstone structureless,fine sand upper,2.041,2.42,1181.42,truncated,,right goes to end of access,0
Access,6,Delta,prximal delta front,2283.9,292.731,2,apparent dip,20-Sandstone structureless,fine sand upper,2.133,0.93,2528,,,,N/A,N/A,1168,,20-Sandstone structureless,very fine sand upper,1.931,1.21,1360,truncated,,left-outcrop extent,right-outcrop extent
Access,7,Delta,prximal delta front,2431.77,326.14,2,apparent dip,20-Sandstone structureless,fine sand upper,2.187,1.98,2528,,20-Sandstone structureless,fine sand upper,2.139,0.29,1007.4,,20-Sandstone structureless,fine sand upper,2.166,1.3,1520.6,truncated,,right goes to end of access,0
Access,8,Delta,distal delta front,2577.7,370.7,2,apparent dip,20-Sandstone structureless,very fine sand upper,1.565,0.44,2528,,20-Sandstone structureless,very fine sand upper,1.532,2.71,852.27,,20-Sandstone structureless,very fine sand upper,1.483,0.41,1675.73,truncated,,,
Access,9,Delta,distal delta front,2714.5,309.4,2,apparent dip,20-Sandstone structureless,very fine sand upper,1.634,1.32,2528,,20-Sandstone structureless,very fine sand upper,1.355,1.474,683.28,,20-Sandstone structureless,very fine sand upper,1.382,1.6,1844.72,truncated,,,
Access,10,Delta,distal delta front,2884.7,349.5,2,apparent dip,17-Sandstone Stratified,very fine sand upper,1.514,3,2528,,17-Sandstone Stratified,very fine sand upper,1.546,1.33,429.67,,17-Sandstone Stratified,very fine sand upper,1.663,3,2098.33,truncated,,left-outcrop extent-goes to FP where truncated,right-outcrop extent
Access,11,Delta,distal delta front,3037.11,327.33,2,apparent dip,17-Sandstone Stratified,very fine sand upper,1.175,2.17,2528,,17-Sandstone Stratified,very fine sand upper,1.205,1.34,266.36,,17-Sandstone Stratified,very fine sand upper,1.14,1.75,2261.64,truncated,,left-outcrop extent-goes to FP,right-outcrop extent
Access,12,Delta,distal delta front,3179.6,251.8,2,apparent dip,20-Sandstone structureless,very fine sand upper,0.373,0.79,2528,,20-Sandstone structureless,very fine sand upper,0.303,0.96,97.93,,20-Sandstone structureless,very fine sand upper,0.275,1.24,2430.07,truncated,,left-outcrop extent-goes to FP where truncated,right-outcrop extent
Fishpond,7,Delta,prximal delta front,1403.75,1038.5,2,apparent dip,20-Sandstone structureless,fine sand lower,3.943,2.45,2544.36,,20-Sandstone structureless,fine sand lower,3.464,3.38,2469.7,,20-Sandstone structureless,fine sand lower,3.367,3.42,74.66,truncated,,right side goes to end of access,
Fishpond,8,Delta,prximal delta front,1612.8,560.1,2,apparent dip,17-Sandstone Stratified,fine sand lower,4.158,2,2528.6,,17-Sandstone Stratified,fine sand lower,4.1,1.3,2283.6,,17-Sandstone Stratified,fine sand lower,3.987,1.4,245,truncated,,right goes to end of access,
Access,1,Delta,distal delta front,1528.299,402.441,16,apparent dip,17-Sandstone Stratified,very fine sand upper,1.69,2.34,1822.32,,17-Sandstone Stratified,very fine sand upper,1.52,1.56,1399.4,pinch out,17-Sandstone Stratified,very fine sand upper,1.689,2.524,422.92,truncated,,,
Access,2,Delta,distal delta front,1688.01,374.864,16,apparent dip,20-Sandstone structureless,very fine sand upper,0.824,1.85,1822.32,,20-Sandstone structureless,very fine sand upper,0.58,2.24,1231.78,pinch out,20-Sandstone structureless,very fine sand upper,0.885,0.81,590.54,truncated,,,
Access,4,Delta,distal delta front,1988.868,329.133,16,apparent dip,17-Sandstone Stratified,very fine sand upper,0.386,1.59,1822.32,,17-Sandstone Stratified,very fine sand upper,0.381,2.05,911,pinch out,17-Sandstone Stratified,very fine sand upper,0.368,1.73,911.32,truncated,,,
Access,5,Delta,prodelta,2124,277.6,16,apparent dip,17-Sandstone Stratified,very fine sand lower,0.22,1.25,1822.32,,17-Sandstone Stratified,very fine sand lower,0.172,2.58,741.99,pinch out,20-Sandstone structureless,very fine sand lower,0.251,2.4,1080.33,truncated,,,
Access,6,Delta,prodelta,2283.9,292.731,16,apparent dip,20-Sandstone structureless,very fine sand lower,0.236,0.786,1822.32,,20-Sandstone structureless,very fine sand lower,0.184,2.89,562.91,pinch out,20-Sandstone structureless,very fine sand lower,0.23,0.76,1259.41,truncated,,,
